data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,municipio_nome,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year
1766880000000,202553,37.0,37,37,37,0.028345576,3.9272294,0,2,500270420255320599,2026-05-26,Campo Grande,,0.6708945,942140,23.2187714285714,91.4344285714286,1,0,0,75.6724714285714,55.7861,26.8279714285714,31.3628142857143,3,,,,,156062
1766275200000,202552,40.0,40,40,40,0.004588118,4.2456536,0,2,500270420255220599,2026-05-26,Campo Grande,,0.6000779,942140,23.2591857142857,90.0185,1,0,0,72.0378142857143,52.5177428571429,27.1898428571429,31.593,2,,,,,156062
1765670400000,202551,54.0,54,54,54,0.059530742,5.731632,0,2,500270420255120599,2026-05-26,Campo Grande,,0.75666016,942140,22.3121571428571,90.0715714285714,1,0,0,76.5439571428571,62.5666142857143,25.5977571428571,29.4629,2,,,,,156062
1765065600000,202550,72.0,72,72,72,0.5530327,7.642176,0,1,500270420255020599,2026-05-26,Campo Grande,,1.0225301,942140,22.0786142857143,92.1920714285714,1,0,0,79.4245142857143,63.3258,25.0024571428571,28.5374857142857,1,,,,,156062
1764460800000,202549,78.0,78,78,78,0.6834527,8.279024,0,1,500270420254920599,2026-05-26,Campo Grande,,1.0808253,942140,22.4936428571429,84.8335285714286,1,0,0,67.1435571428571,47.1048,27.2073285714286,32.5147714285714,1,,,,,156062
1763856000000,202548,65.0,65,65,65,0.13668367,6.899187,0,1,500270420254820599,2026-05-26,Campo Grande,,0.8327623,942140,21.1445571428571,70.6855142857143,0,0,0,53.0595571428571,35.1269142857143,26.7055142857143,32.4979714285714,0,,,,,156062
1763251200000,202547,71.0,71,71,71,0.24016137,7.536035,0,1,500270420254720599,2026-05-26,Campo Grande,,0.89155644,942140,18.2796571428571,82.5889428571429,0,0,0,65.2209142857143,45.4291571428571,23.5083285714286,28.8983,2,,,,,156062
1762646400000,202546,76.0,76,76,76,0.62840235,8.066742,0,1,500270420254620599,2026-05-26,Campo Grande,,1.0551835,942140,20.3164571428571,83.0150714285714,0,0,0,70.4295142857143,57.1630857142857,24.2900285714286,28.8250142857143,2,,,,,156062
1762041600000,202545,97.0,97,97,97,0.9966689,10.29571,0,1,500270420254520599,2026-05-26,Campo Grande,,1.5418553,942140,21.9253285714286,88.3518428571429,0,1,1,74.4938428571429,56.4912714285714,25.3992857142857,29.9823571428571,3,,,,,156062
1761436800000,202544,60.0,60,60,60,0.7117737,6.36848,0,1,500270420254420599,2026-05-26,Campo Grande,,1.1099253,942140,19.7782571428571,90.6963714285714,0,0,0,74.9099714285714,57.5257714285714,23.4781285714286,27.9279428571429,3,,,,,156062
1760832000000,202543,74.0,74,74,74,0.98201615,7.854459,0,1,500270420254320599,2026-05-26,Campo Grande,,1.458847,942140,19.1737714285714,57.0953714285714,0,0,0,47.5439285714286,35.3447285714286,24.3078571428571,29.8499142857143,3,,,,,156062
1760227200000,202542,44.0,44,44,44,0.19242312,4.670219,0,1,500270420254220599,2026-05-26,Campo Grande,,0.8381928,942140,22.657,81.3835571428571,1,0,0,67.1948285714286,49.6204142857143,26.5491857142857,31.438,3,,,,,156062
1759622400000,202541,51.0,51,51,51,0.3239899,5.413208,0,1,500270420254120599,2026-05-26,Campo Grande,,0.91566974,942140,21.3604714285714,68.4884571428571,0,0,0,52.6704571428571,35.2417285714286,26.9046285714286,33.1928428571429,4,,,,,156062
1759017600000,202540,51.0,51,51,51,0.25859138,5.413208,0,1,500270420254020599,2026-05-26,Campo Grande,,0.8834907,942140,21.6178714285714,79.0855857142857,0,0,0,58.0948,33.7189285714286,26.7296285714286,33.1683142857143,7,,,,,156062
1758412800000,202539,58.0,58,58,58,0.46798867,6.1561975,0,1,500270420253920599,2026-05-26,Campo Grande,,0.98530084,942140,19.2930428571429,66.6270285714286,0,0,0,47.8218142857143,32.6825714285714,25.3472571428571,31.5646428571429,3,,,,,156062
1757808000000,202538,58.0,58,58,58,0.5406244,6.1561975,0,1,500270420253820599,2026-05-26,Campo Grande,,1.0191442,942140,22.5408857142857,52.6313714285714,0,0,0,39.0558,25.5400142857143,28.3395571428571,34.5762714285714,1,,,,,156062
1757203200000,202537,58.0,58,58,58,0.7519969,6.1561975,0,1,500270420253720599,2026-05-26,Campo Grande,,1.1389405,942140,20.0525857142857,60.1225571428571,0,0,0,40.6539285714286,22.8866428571429,26.6958857142857,34.1333285714286,2,,,,,156062
1756598400000,202536,66.0,66,66,66,0.96246815,7.005328,0,1,500270420253620599,2026-05-26,Campo Grande,,1.3989885,942140,20.7990714285714,54.8795857142857,0,0,0,41.9135428571429,27.6648857142857,26.2979,32.7685857142857,3,,,,,156062
1755993600000,202535,44.0,44,44,44,0.49069026,4.670219,0,1,500270420253520599,2026-05-26,Campo Grande,,0.9950661,942140,15.5538857142857,74.5300714285714,0,0,0,56.5607285714286,35.6904285714286,20.8654428571429,27.7510428571429,4,,,,,156062
1755388800000,202534,47.0,47,47,47,0.7371696,4.9886427,0,1,500270420253420599,2026-05-26,Campo Grande,,1.1442643,942140,20.2401,56.7237571428571,0,0,0,41.8938571428571,23.3311571428571,25.8699142857143,32.6067857142857,2,,,,,156062
1754784000000,202533,51.0,51,51,51,0.75350994,5.413208,0,1,500270420253320599,2026-05-26,Campo Grande,,1.1502564,942140,10.2807,64.9956857142857,0,0,0,44.949,25.0849142857143,17.4061571428571,25.4913428571429,0,,,,,156062
1754179200000,202532,31.0,31,31,31,0.009593226,3.2903814,0,1,500270420253220599,2026-05-26,Campo Grande,,0.59471524,942140,16.1050428571429,81.0262285714286,0,0,0,66.6389428571429,45.9737428571429,19.8685571428571,24.4817,2,,,,,156062
1753574400000,202531,44.0,44,44,44,0.057241883,4.670219,0,1,500270420253120599,2026-05-26,Campo Grande,,0.7333424,942140,14.9793571428571,65.0747,0,0,0,52.8807857142857,33.1379428571429,20.0454428571429,27.2419571428571,2,,,,,156062
1752969600000,202530,54.0,54,54,54,0.1297708,5.731632,0,1,500270420253020599,2026-05-26,Campo Grande,,0.8143171,942140,15.5723571428571,70.4363285714286,0,0,0,52.8654285714286,30.8341285714286,21.5531142857143,28.8589428571429,2,,,,,156062
1752364800000,202529,58.0,58,58,58,0.09960421,6.1561975,0,1,500270420252920599,2026-05-26,Campo Grande,,0.7987915,942140,14.2388142857143,70.3002857142857,0,0,0,55.9579571428571,36.9238714285714,19.1928,25.3501571428571,1,,,,,156062
1751760000000,202528,73.0,73,73,73,0.21427049,7.7483177,0,1,500270420252820599,2026-05-26,Campo Grande,,0.8810695,942140,13.6943857142857,77.1185571428571,0,0,0,59.8023571428571,38.0020142857143,18.7233285714286,24.9620285714286,7,,,,,156062
1751155200000,202527,62.0,62,62,62,0.007923244,6.580763,0,1,500270420252720599,2026-05-26,Campo Grande,,0.675855,942140,13.2348142857143,84.2794428571429,0,0,0,73.3585142857143,58.1304142857143,16.8918857142857,22.1168285714286,7,,,,,156062
1750550400000,202526,89.0,89,89,89,0.19406614,9.446579,0,1,500270420252620599,2026-05-26,Campo Grande,,0.88239866,942140,14.2547857142857,84.7803428571429,0,0,0,71.0595571428571,52.3187,18.6433285714286,24.0555714285714,4,,,,,156062
1749945600000,202525,95.0,95,95,95,0.074536555,10.083427,0,1,500270420252520599,2026-05-26,Campo Grande,,0.8197136,942140,17.3480142857143,86.7155428571429,0,0,0,73.0373714285714,53.3566571428571,21.2333285714286,26.1457285714286,9,,,,,156062
1749340800000,202524,90.0,90,90,90,0.0020398241,9.55272,0,1,500270420252420599,2026-05-26,Campo Grande,,0.678533,942140,14.5294285714286,85.6887571428571,0,0,0,73.2968428571429,55.8057714285714,17.8095285714286,22.4151142857143,10,,,,,156062
1748736000000,202523,122.0,122,122,122,0.10214358,12.949244,0,1,500270420252320599,2026-05-26,Campo Grande,,0.85550106,942140,17.7917285714286,87.0365142857143,0,0,1,75.1209571428572,55.0704285714286,21.6037428571429,26.8021142857143,10,,,,,156062
1748131200000,202522,128.0,128,128,128,0.34122264,13.586091,0,1,500270420252220599,2026-05-26,Campo Grande,,0.9508296,942140,14.0689142857143,76.1641,0,0,1,63.5771571428571,47.2561428571429,18.3892,23.9971285714286,24,,,,,156062
1747526400000,202521,161.0,161,161,161,0.9912296,17.088755,0,1,500270420252120599,2026-05-26,Campo Grande,,1.3281208,942140,18.1173428571429,80.8118285714286,0,1,1,65.8511428571429,43.5116,22.9213714285714,28.2745,34,,,,,156062
1746921600000,202520,144.0,144,144,144,0.8408494,15.284352,0,1,500270420252020599,2026-05-26,Campo Grande,,1.1286669,942140,18.7079857142857,83.2182142857143,0,0,1,72.1097285714286,54.4305428571429,22.3170428571429,27.002,28,,,,,156062
1746316800000,202519,101.0,101,101,101,0.0035916602,10.720275,0,1,500270420251920592,2026-05-19,Campo Grande,,0.7072926,942140,20.1746714285714,81.0970428571429,0,0,1,70.2421142857143,52.3847857142857,23.8960857142857,28.6778285714286,17,,,,,156062
1745712000000,202518,112.0,112,112,112,0.006973801,11.88783,0,1,500270420251820587,2026-05-14,Campo Grande,,0.7378503,942140,17.2957142857143,88.8799714285714,0,0,1,75.3453714285714,55.5929857142857,21.6008714285714,26.5565571428571,14,,,,,156062
1745107200000,202517,181.0,181,181,181,0.6311837,19.211582,0,1,500270420251720578,2026-05-05,Campo Grande,,1.0361227,942140,21.019,92.9259142857143,0,0,1,83.4764571428571,70.5139857142857,23.4117714285714,26.787,50,,,,,156062
1744502400000,202516,112.0,112,112,112,6.124e-07,11.88783,0,1,500270420251620571,2026-04-28,Campo Grande,,0.56980133,942140,20.5660714285714,97.2635857142857,0,0,1,88.0129571428571,74.3129857142857,23.0419142857143,26.2103714285714,13,,,,,156062
1743897600000,202515,184.0,184,184,184,0.17055094,19.530006,0,1,500270420251520566,2026-04-23,Campo Grande,,0.90776026,942140,20.8978857142857,86.7653714285714,0,0,1,74.7553571428572,60.2102285714286,24.1854,28.2674571428571,18,,,,,156062
1743292800000,202514,220.0,220,220,220,0.7520917,23.351095,0,1,500270420251420557,2026-04-14,Campo Grande,,1.0681777,942140,21.9336428571429,92.2909142857143,0,0,1,80.6805,64.3767285714286,25.0289,28.7706571428571,17,,,,,156062
1742688000000,202513,189.0,189,189,189,0.2133766,20.060713,0,1,500270420251320552,2026-04-09,Campo Grande,,0.92306894,942140,22.2989285714286,91.3083571428571,1,0,1,77.6771,61.2640714285714,25.7665571428571,29.8175714285714,28,,,,,156062
1742083200000,202512,213.0,213,213,213,0.71481127,22.608105,0,1,500270420251220543,2026-03-31,Campo Grande,,1.0572864,942140,21.6610571428571,79.2443,0,0,1,65.5493714285714,48.3015857142857,26.1523714285714,31.1127,58,,,,,156062
1741478400000,202511,218.0,218,218,218,0.7173048,23.138811,0,1,500270420251120535,2026-03-23,Campo Grande,,1.0573643,942140,21.9031428571429,91.9914285714286,0,0,1,76.0379714285714,55.2636285714286,25.5369857142857,30.1851,35,,,,,156062
1740873600000,202510,178.0,178,178,178,0.09577106,18.893158,0,1,500270420251020529,2026-03-17,Campo Grande,,0.8748172,942140,22.3759,79.1921714285714,0,0,1,61.0129714285714,41.3299428571429,27.2533571428571,32.1273714285714,49,,,,,156062
1740268800000,202509,222.0,222,222,222,0.94604284,23.563377,0,2,500270420250920521,2026-03-09,Campo Grande,,1.1718702,942140,22.5725,91.1953142857143,1,0,1,77.0294285714286,60.4236,26.0796428571429,29.8143714285714,36,,,,,156062
1739664000000,202508,216.0,216,216,216,0.9799689,22.926529,0,2,500270420250820516,2026-03-04,Campo Grande,,1.2310609,942140,23.1208571428571,89.0294,1,1,1,70.8294142857143,51.0462857142857,27.4500428571429,32.4457142857143,32,,,,,156062
1739059200000,202507,179.0,179,179,179,0.82486975,18.9993,0,2,500270420250720508,2026-02-24,Campo Grande,,1.1064318,942140,22.4028285714286,86.6870571428571,1,0,1,70.0249571428571,54.1607571428571,26.5129857142857,30.5932,21,,,,,156062
1738454400000,202506,184.0,184,184,184,0.9630476,19.530006,0,2,500270420250620503,2026-02-19,Campo Grande,,1.2158136,942140,22.3064857142857,91.5047142857143,1,1,1,77.3016714285714,58.9914714285714,25.5559571428571,29.6121714285714,29,,,,,156062
1737849600000,202505,159.0,159,159,159,0.76236314,16.876472,0,2,500270420250520495,2026-02-11,Campo Grande,,1.0850312,942140,22.6379285714286,93.0547428571429,1,0,1,76.2029142857143,56.8239428571429,26.5819142857143,30.9854428571429,24,,,,,156062
1737244800000,202504,147.0,147,147,147,0.72418684,15.602777,0,1,500270420250420491,2026-02-07,Campo Grande,,1.0731223,942140,22.7967142857143,89.6157428571429,1,0,1,74.1204714285714,54.6643,26.6125857142857,31.4069428571429,12,,,,,156062
1736640000000,202503,146.0,146,146,146,0.9705287,15.496635,0,1,500270420250320486,2026-02-02,Campo Grande,,1.2636284,942140,23.2531857142857,85.2159857142857,1,1,1,65.9228142857143,46.7523285714286,27.5791857142857,32.1335428571429,24,,,,,156062
1736035200000,202502,156.0,156,156,156,0.999944,16.558048,0,1,500270420250220460,2026-01-07,Campo Grande,,1.6389259,942140,22.4775857142857,82.9640285714286,0,1,1,60.1811714285714,39.1015571428571,28.0303857142857,33.2477285714286,20,,,,,156062
1735430400000,202501,105.0,105,105,105,0.93526995,11.14484,0,1,500270420250120460,2026-01-07,Campo Grande,,1.2468722,942140,21.8064428571429,84.1972142857143,0,0,1,66.6170428571429,47.9001571428571,26.4788714285714,31.1129714285714,13,,,,,156062
